TriggerIndex,FrameNum,PicPath,Code1,CodeType1,CodeCoordinate1,Code2,CodeType2,CodeCoordinate2,Code3,CodeType3,CodeCoordinate3,Code4,CodeType4,CodeCoordinate4,Code5,CodeType5,CodeCoordinate5,Code6,CodeType6,CodeCoordinate6
1,1,1.jpg,690169016904,CODE128,525.658.552.239.701.243.672.660,690169016902,CODE128,288.646.299.228.449.230.435.646,77,CODE128,795.365.934.369.916.567.776.562,690169016901,CODE128,263.1252.289.851.420.856.391.1253
1,2,2.jpg,690169016904,CODE128,697.247.558.237.531.653.670.662,690169016902,CODE128,288.646.299.229.448.231.433.645,77,CODE128,782.556.924.564.935.374.793.367,690169016903,CODE128,502.1259.524.870.654.873.629.1258
1,3,3.jpg,690169016904,CODE128,698.248.559.236.532.654.671.665,690169016902,CODE128,453.231.312.224.291.646.432.653,77,CODE128,796.365.933.369.915.566.777.562,690169016903,CODE128,502.1259.525.870.654.873.629.1258
1,4,4.jpg,690169016904,CODE128,524.658.552.240.701.244.670.659,690169016902,CODE128,450.233.310.220.292.639.431.651,77,CODE128,795.366.934.369.915.564.776.561
1,5,5.jpg,690169016904,CODE128,526.659.550.239.699.242.671.659,690169016902,CODE128,452.230.312.224.292.645.431.651,77,CODE128,796.364.934.369.916.566.777.561,690169016903,CODE128,502.1258.525.870.654.873.628.1258
1,6,6.jpg,690169016904,CODE128,696.249.557.239.533.651.670.660,690169016902,CODE128,452.230.312.223.292.643.431.650,77,CODE128,796.364.933.369.914.566.776.561,690169016903,CODE128,502.1259.525.870.653.873.628.1258
1,7,7.jpg,690169016904,CODE128,697.247.559.238.532.654.670.663,690169016902,CODE128,452.231.311.225.292.644.432.650,77,CODE128,795.365.934.370.915.565.775.561,690169016903,CODE128,501.1259.524.870.654.872.629.1257
1,8,8.jpg,690169016904,CODE128,697.248.558.238.531.655.670.664,690169016902,CODE128,288.647.298.228.446.230.433.646,77,CODE128,796.365.934.369.914.565.776.561,690169016903,CODE128,502.1258.524.870.654.873.629.1257
1,9,9.jpg,690169016904,CODE128,697.249.557.241.532.651.670.659,690169016902,CODE128,289.646.300.227.449.229.434.646,77,CODE128,796.365.934.370.915.565.776.560,690169016903,CODE128,502.1259.525.870.654.873.629.1257
1,10,10.jpg,690169016904,CODE128,525.659.550.239.698.243.671.660,690169016902,CODE128,451.235.311.221.293.645.431.659,77,CODE128,796.364.933.369.915.567.777.561,690169016903,CODE128,502.1259.524.870.654.872.629.1257
